Library System,Branch Name,1x Branch Unique ID,School District Served,Phone,Physical Address,City,Province,Postal Code,Latitude,Longitude,"460x Total branch physical materials, volumes held",556x Branch circulation of print and other physical materials,565x Branch circulation of children's materials,610x Branch reference transactions,775x In person visits to this branch or service point,680x Branch in-library adult programs,682x Branch outreach adult programs,690x Attendance at adult programs,700x Branch in-library children's programs,702x Branch outreach children's programs,710x Attendance at children's programs,715x Branch in-library young adult programs,717x Branch outreach young adult programs,716x Attendance at young adult programs,"671x Branch in-library newcomer/ELL programs, all ages","673x Branch outreach newcomer/ELL programs, all ages",672x Attendance at branch newcomer/ELL programs,"740x Professional Librarians, hours worked at this branch","742x Library Technicians, hours worked at this branch","752x Community Librarians, hours worked at this branch","770x Other Staff, hours worked at this branch",975x Number of photocopiers in library branch,852x Is this location LEED certified?,854x Is this location a Shared Space facility?,"860x Branch space/size, total square metres",890x Hours open per year at this location,920x Days open per year at this location
Coquitlam Public Library,City Centre Branch,BCOQ001,43,(604) 554-7323,1169 Pinetree Way,Coquitlam,BC,V3B 0Y1,49.284268,-122.79557,73985,549389,215399,27692,535077,371,12,6820,325,78,35482,85,4,3200,238,10,5508,11428,2160,n.a.,20525,3,No,No,3205,3386,349
Coquitlam Public Library,Library Link,BCOQ003,43,n.d.,n.d.,Coquitlam,BC,n.d.,49.284268,-122.79555,1961,33954,30849,n.a.,10534,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1571,0,No,No,12,231,98
Cranbrook Public Library,Cranbrook Public Library,BCR001,5,(250) 426-4063,1212 2nd Street N,Cranbrook,BC,V1C 4T6,49.513908,-115.764565,67511,170373,56408,11330,130342,378,24,2130,302,11,8039,8,0,118,n.a.,n.a.,n.a.,2576,1356,2912,14326,2,No,Yes,1298,3369,348
Creston Public Library Association,Creston Public Library Association,BCRE001,8,(250) 428-4141,531 - 16th Avenue S,Creston,BC,V0B 1G5,49.090049,-116.505477,37277,110035,29447,6950,67895,139,24,1979,293,36,6407,24,6,124,2,0,12,1680,0,0,9329,1,No,Yes,836,1950,260
Dawson Creek Municipal Public Library,Dawson Creek Municipal Public Library,BDC001,59,(250) 782-4661,1001 McKellar Avenue,Dawson Creek,BC,V1G 4W7,55.753764,-120.234247,71703,56151,n.d.,3650,n.d.,27,2,666,124,4,2484,5,0,112,0,0,0,0,0,0,14104,3,No,No,939,2741,349
Elkford Public Library,Elkford Public Library,BELK001,5,(250) 865-2912,816 Michel Road,Elkford,BC,V0B 1H0,50.024766,-114.921278,27054,6444,3025,850,6600,0,3,150,3,2,350,0,2,146,0,0,0,0,0,2994,528,1,No,Yes,252,1683,255
Fernie Public Library,Fernie Public Library,BF001,5,(250) 423-4458,492 Third Avenue,Fernie,BC,V0B 1M0,49.503354,-115.06284,38180,54365,25442,26450,79900,44,59,1285,326,44,12436,10,3,85,1,2,16,0,0,4800,1800,2,No,Yes,810,2200,275
Fort Nelson Public Library,Fort Nelson Public Library,BFN001,81,(250) 774-6777,5315 - 50th Avenue S,Fort Nelson,BC,V0C 1R0,58.80442,-122.706149,38832,41373,16505,2280,27292,39,3,702,136,20,2570,25,0,296,0,0,0,1820,0,0,8872,2,No,No,655,2440,350
Fort St. James Centennial Library,Fort St. James Centennial Library,BFSJA001,91,(250) 996-7431,425 Manson Street,Fort St. James,BC,V0J 1P0,54.445248,-124.255224,15812,16722,3716,7000,18650,12,1,182,30,0,399,0,0,0,12,0,157,1466,0,1820,1297,2,No,No,372,1561,248
Fort St. John Public Library Association,Fort St. John Public Library Association,BFSJ001,60,(250) 785-3731,10015 - 100th Avenue,Fort St. John,BC,V1J 1Y7,56.246452,-120.848044,69501,100704,54964,2983,82812,21,12,3571,161,100,9699,11,1,129,9,9,390,2080,1560,0,12412,1,No,Yes,720,2441,289
Fraser Lake Public Library,Fraser Lake Public Library,BFRL001,91,(250) 699-8888,280 Endako Avenue,Fraser Lake,BC,V0J 1S0,54.056412,-124.846697,21809,10099,2160,2340,7200,52,16,488,77,8,1066,0,0,0,0,0,0,0,0,0,4381,1,No,No,3600,1664,260
Fraser Valley Regional Library,Administrative Centre,BABF001,34,1 (888) 668-4141,34589 Delair Rd,Abbotsford,BC,V2S 5Y1,49.036617,-122.266378,32699,104774,3371,n.d.,n.a.,n.a.,129,3985,1,1,38,n.a.,4,229,n.a.,n.a.,n.a.,22804,8415,0,62246,6,No,No,2521,2223,247
Fraser Valley Regional Library,Abbotsford Community Library,BABF016,34,(604) 853-1753,33660 South Fraser Way,Abbotsford,BC,V2S 2B9,49.055028,-122.328655,37911,322086,147257,10455,125289,134,20,4098,48,25,2851,4,1,272,6,1,168,1818,3978,0,10371,2,No,Yes,1022,3004,339
Fraser Valley Regional Library,Agassiz Library,BABF002,78,(604) 796-9510,7140 Cheam Ave,Agassiz,BC,V0M 1A0,49.243554,-121.992562,20206,85982,19965,2696,64000,59,32,3338,42,18,1534,10,2,227,n.a.,n.a.,n.a.,221,1731,0,2961,2,No,No,418,2024,254
Fraser Valley Regional Library,Aldergrove Library,BABF003,35,(604) 856-6415,26770-29th Avenue,Aldergrove,BC,V4W 3B8,49.055541,-122.481863,24935,136939,54870,5946,65700,50,3,1750,91,12,1782,14,0,153,2,0,32,0,3925,0,4193,2,No,No,372,2863,297
Fraser Valley Regional Library,Boston Bar Library,BABF004,78,(604) 867-8847,47643 Old Boston Bar Road,Boston Bar,BC,V0K 1C0,49.860949,-121.440379,9982,11880,2304,3037,3426,8,10,217,12,2,198,2,0,31,0,0,0,52,0,0,1051,1,No,No,93,618,103
Fraser Valley Regional Library,Brookswood Library,BABF005,35,(604) 534-7055,20045 - 40th Avenue,Langley,BC,V3A 2W2,49.074725,-122.668615,14728,69399,27253,4986,43197,31,9,1501,68,3,1935,0,0,0,0,0,0,0,2703,0,2097,1,No,No,186,2018,254
Fraser Valley Regional Library,Chilliwack Library,BABF006,33,(604) 792-1941,45860 First Avenue,Chilliwack,BC,V2P 7K1,49.168253,-121.955032,61430,518248,159601,20470,239079,353,5,10954,190,87,8994,13,3,358,43,0,523,4063,6840,0,15480,2,No,No,1440,3082,339
Fraser Valley Regional Library,Clearbrook Library,BABF008,34,(604) 859-7814,32320 George Ferguson Way,Abbotsford,BC,V2T 6N4,49.052125,-122.345235,88142,802760,348846,31427,329263,232,9,4053,298,73,20738,32,3,910,54,2,962,7993,12216,0,17103,3,No,No,1858,3157,339
Fraser Valley Regional Library,Fort Langley Library,BABF009,35,(604) 888-0722,9167 Glover Road,Fort Langley,BC,V1M 2R6,49.169014,-122.579297,10300,47884,18065,2622,32606,77,3,2861,35,3,782,0,0,0,0,0,0,0,16,0,2462,1,No,Yes,84,1622,254
Fraser Valley Regional Library,George Mackie Library,BABF010,37,(604) 594-8155,8440 - 112th Street,Delta,BC,V4C 4W9,49.156793,-122.912391,43130,287762,120284,16703,95650,189,11,3011,251,58,9876,19,1,659,28,0,116,2993,7763,0,8788,2,No,No,1059,3115,339
Fraser Valley Regional Library,Hope Library,BABF011,78,(604) 869-2313,1005 - 6th Avenue,Hope,BC,V0X 1L0,49.377998,-121.431461,16987,70701,15574,2993,48680,132,27,3231,49,13,1823,2,0,15,n.a.,n.a.,n.a.,221,1985,0,2021,2,No,Yes,325,1873,296
Fraser Valley Regional Library,Ladner Pioneer Library,BABF012,37,(604) 946-6215,4683 - 51st Street,Delta,BC,V4K 2V8,49.087117,-123.08266,30379,211314,55216,1277,169950,229,11,2086,220,22,6929,7,8,303,46,0,340,1821,2820,0,7185,2,No,No,1115,3115,339
Fraser Valley Regional Library,Langley City Library,BABF007,35,(604) 514-2850,20399 Douglas Crescent,Langley,BC,V3A 4B3,49.103549,-122.65676,30115,216711,63683,14259,196550,178,6,3371,149,26,5523,7,0,68,14,0,206,3089,5134,0,10029,2,No,Yes,1228,3278,339
Fraser Valley Regional Library,Maple Ridge Public Library,BABF013,42,(604) 467-7417,130 - 22470 Dewdney Trunk Road,Maple Ridge,BC,V2X 5Z6,49.22046,-122.600057,69779,455933,161392,30557,355250,149,20,6810,229,70,21388,86,8,1374,22,4,138,9568,13355,0,8435,3,No,Yes,3429,3184,339
Fraser Valley Regional Library,Mission Library,BABF014,75,(604) 826-6610,33247 - 2nd Avenue,Mission,BC,V2V 1J7,49.135283,-122.303564,49192,321738,109850,6736,174812,91,7,3534,167,55,10872,14,0,266,n.a.,n.a.,n.a.,3299,8076,0,7471,2,No,No,1394,3031,339
Fraser Valley Regional Library,Mount Lehman Library,BABF015,34,(604) 856-4988,5875 Mt. Lehman Road,Abbotsford,BC,V4X 1V5,49.109047,-122.381877,3981,14582,6646,383,4292,54,0,503,2,0,55,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,5,0,1026,1,No,Yes,46,808,204
Fraser Valley Regional Library,Muriel Arnason Library,BABF017,35,(604) 532-3590,130 - 20338 65th Avenue,Langley,BC,V2Y 2X3,49.12069,-122.656765,31222,219267,112017,6950,90362,94,4,1985,111,35,5046,4,0,80,6,0,92,3661,1708,0,5401,2,No,No,530,3031,339
Fraser Valley Regional Library,Murrayville Library,BABF018,35,(604) 533-0339,Unit 100 - 22071 48th Avenue,Langely,BC,V3A 3N1,49.089422,-122.612315,26967,173498,62429,3097,76073,161,3,2231,31,1,844,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1729,1947,0,6627,2,No,No,768,3031,339
Fraser Valley Regional Library,Pitt Meadows Public Library,BABF019,42,(604) 465-4113,12047 Harris Road,Pitt Meadows,BC,V3Y 1Z2,49.221363,-122.68959,24836,130973,52279,7236,76350,108,11,4443,149,28,5196,n.a.,1,180,15,0,97,3990,1634,0,7589,2,No,Yes,1059,2917,339
Fraser Valley Regional Library,Sardis Library,BABF020,33,(604) 858-5503 ,5819 Tyson Road,Sardis,BC,V2R 3R6,49.10726,-121.977412,39142,361401,160131,5815,152900,311,7,5440,160,45,10086,10,0,215,76,0,773,1834,3431,0,9009,2,No,No,975,3082,339
Fraser Valley Regional Library,Terry Fox Library,BABF021,43,(604) 927-7999,2470 Mary Hill Road,Port Coquitlam,BC,V3C 3B1,49.260305,-122.778532,52682,363247,141688,10820,124075,219,51,7638,217,111,13968,15,2,520,52,1,959,3155,7950,0,9643,2,No,No,1394,2925,339
Fraser Valley Regional Library,Tsawwassen Library,BABF022,37,(604) 943-2271,1321A - 56th Street,Delta,BC,V4L 2A6,49.026996,-123.068683,31243,215398,60105,11205,375850,199,11,3786,157,28,7199,3,1,266,4,0,89,1746,3913,0,6029,2,No,No,736,2927,339
Fraser Valley Regional Library,Walnut Grove Library,BABF023,35,(604) 882-0410,8889 Walnut Grove Drive,Langley,BC,V1M 2N7,49.163691,-122.640499,31796,313242,176772,8737,221125,23,1,651,105,28,4962,2,0,59,14,0,62,3769,3575,0,6864,2,No,No,557,3235,339
Fraser Valley Regional Library,White Rock Library,BABF024,36,(604) 541-2201,15342 Buena Vista Avenue,White Rock,BC,V4B 1Y6,49.023902,-122.796236,30784,193767,22979,6741,118281,262,7,4865,185,2,4031,2,0,206,n.a.,n.a.,n.a.,448,4867,0,6354,2,No,Yes,934,2823,339
Fraser Valley Regional Library,Yale Library,BABF025,78,(604) 863-2279,65050 Albert Street,Yale,BC,V0K 2S0,49.56175,-121.431384,4795,7029,1070,2010,2286,18,0,145,5,0,15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,52,0,0,1039,1,No,Yes,30,534,100
Fraser Valley Regional Library,Yarrow Library,BABF026,33,(604) 823-4664,4670 Community Street,Yarrow,BC,V2R 5E1,49.086416,-122.052378,10102,38713,19162,1423,20617,17,3,1045,62,2,1894,9,0,9,,,,0,1217,0,1991,1,No,No,112,1327,203
Gibsons & District Public Library,Gibsons & District Public Library,BGI001,46,(604) 886-2130,470 S Fletcher Road,Gibsons,BC,V0N 1V0,49.398917,-123.511436,35808,148351,34962,19300,106457,301,23,3569,105,8,1871,21,3,143,0,0,0,2558,2794,0,7432,3,No,No,648,2362,315
Grand Forks & District Public Library,Grand Forks & District Public Library,BGF001,51,(250) 442-3944,7342 Fifth Avenue,Grand Forks,BC,V0H 1H0,49.032346,-118.441005,29351,71586,14094,24402,73702,311,20,2670,192,8,2761,26,0,100,0,0,0,1680,n.a.,n.a.,6448,1,No,Yes,540,2298,292
Granisle Public Library,Granisle Public Library,BGR001,91,(250) 697-2713,#2 Village Square -  McDonald Avenue,Granisle,BC,V0J 1W0,54.88542,-126.204987,12978,847,135,0,1220,0,0,0,1,1,n.d.,0,1,n.d.,0,0,0,0,0,0,1270,1,No,Yes,119,743,193
Greater Victoria Public Library,Langford Heritage Branch,BVI011,62,(250) 940-4875,102-1314 Lakepoint Way,Victoria,BC,V9B 0S2,48.4457,-123.533998,17337,98878,31282,4500,70046,2,0,83,49,1,1607,0,0,0,0,0,0,,n.a.,n.a.,8172,1,No,Yes,387,2673,330
Greater Victoria Public Library,Greater Victoria Public Central Library,BVI003,61,(250) 382-7241,735 Broughton Street,Victoria,BC,V8W 3H2,48.42369,-123.36447,178739,768263,168992,49250,659304,389,87,13454,213,79,9741,49,10,267,30,6,848,15179,n.a.,n.a.,52234,2,No,Yes,4520,3282,330
Greater Victoria Public Library,Bruce Hutchison Branch,BVI001,63,(250) 727-0104,4636 Elk Lake Drive,Saanich,BC,V8Z 7K2,48.500968,-123.386514,63737,380872,129993,8750,239572,23,0,268,150,39,6328,30,0,163,0,0,0,3676,n.a.,n.a.,19292,1,No,Yes,902,2982,330
Greater Victoria Public Library,Central Saanich Branch,BVI002,63,(250) 652-2013,1209 Clarke Road,Central Saanich,BC,V8M 1P8,48.576061,-123.449061,28591,167953,43911,4200,118657,16,1,237,55,32,3739,13,0,52,0,0,0,,n.a.,n.a.,7862,1,No,Yes,437,2964,330
Greater Victoria Public Library,Emily Carr Branch,BVI004,63,(250) 475-6100,3500 Blanshard Street,Saanich,BC,V8X 1W3,48.455637,-123.372717,34640,204027,65699,5550,131790,20,0,144,14,0,182,0,0,0,0,0,0,,n.a.,n.a.,12467,1,No,No,512,2676,330
Greater Victoria Public Library,Esquimalt Branch,BVI005,61,(250) 414-7198,1231 Esquimalt Road,Esquimalt,BC,V9A 3P1,48.429873,-123.409324,49282,222782,51027,7550,134535,18,14,1301,143,73,5787,27,0,83,0,0,0,3640,n.a.,n.a.,15088,1,No,Yes,802,2829,330
Greater Victoria Public Library,Juan de Fuca Branch,BVI007,62,(250) 391-0653,1759 Island Highway,Colwood,BC,V9B 1J1,48.447522,-123.465822,73428,396416,117400,13150,198958,48,10,1452,228,117,13361,39,0,215,0,0,0,8590,n.a.,n.a.,22495,1,No,Yes,1792,2982,330
Greater Victoria Public Library,Nellie McClung Branch,BVI008,63,(250) 477-7111,3950 Cedar Hill Road,Saanich,BC,V8P 3Z9,48.468443,-123.335387,89827,618309,204036,26700,289911,53,17,1063,202,73,9515,97,7,1519,2,0,58,6261,n.a.,n.a.,23624,1,No,No,1274,2829,330
Greater Victoria Public Library,Oak Bay Branch,BVI009,61,(250) 592-2489,1442 Monterey Avenue,Oak Bay,BC,V8S 4W1,48.425795,-123.314091,76784,588603,162587,19550,326429,51,9,4851,186,40,8101,37,0,224,0,0,0,1838,n.a.,n.a.,23969,1,No,Yes,1056,2829,330
Greater Victoria Public Library,Saanich Centennial Branch,BVI010,63,(250) 477-9030,3110 Tillicum Road,Saanich,BC,V9A 6T2,48.45227,-123.395259,60677,369435,124855,6250,208731,26,7,793,190,89,9721,68,3,618,0,0,0,127,1820,n.a.,16544,1,Yes,Yes,1163,2982,330
Greater Victoria Public Library,Goudy Branch,BVI006,62,(250) 391-5702,119 - 755 Goldstream Avenue,Langford,BC,V9B 2X4,48.448365,-123.497972,15384,118735,26918,2450,83662,1,0,62,33,1,453,0,0,0,0,0,0,291,n.a.,n.a.,6934,1,No,Yes,190,2652,350
Greenwood Public Library,Greenwood Public Library,BGRE001,51,(250) 445-6111,346 South Copper Street,Greenwood,BC,V0H 1J0,49.09655,-118.676719,11404,7312,669,135,4450,7,0,24,39,3,467,0,0,0,0,0,0,0,0,807,372,3,No,Yes,112,1031,193
Hazelton District Public Library,Hazelton District Public Library,BHA001,82,(250) 842-5961,4255 Government Street,Hazelton,BC,V0J 1Y0,55.2562774,-127.6772884,29189,11515,2334,3350,5850,15,6,395,62,52,459,1,0,9,0,0,n.a.,1274,0,0,3940,1,No,Yes,329,1686,292
Houston Public Library,Houston Public Library,BH001,54,(250) 845-2256,3150 - 14th Street,Houston,BC,V0J 1Z0,54.396495,-126.654854,18492,17311,5156,2980,17042,77,10,1840,44,11,1514,0,0,0,40,0,201,0,0,1902,2644,2,No,No,495,1776,251
Hudson's Hope Public Library,Hudson's Hope Public Library,BHH001,60,(250) 783-9414,9905 Dudley Drive,Hudson's Hope,BC,V0C 1V0,56.025816,-121.913228,16346,9006,4067,350,6600,5,5,323,178,1,582,27,0,129,0,0,0,0,0,2932,2843,4,No,No,210,1776,264
Invermere Public Library,Invermere Public Library,BIN001,6,(250) 342-6416,201 - 7th Avenue,Invermere,BC,V0A 1K0,50.50344,-116.027059,13452,37045,14274,8700,29400,146,22,640,244,36,7073,17,0,68,0,0,0,0,0,2746,4089,1,No,Yes,316,1976,260
Kaslo & District Public Library,Kaslo & District Public Library,BKASL001,8,(250) 353-2942,413 Fourth Street,Kaslo,BC,V0G 1M0,50.243665,-117.802664,16254,26678,9424,3350,17200,21,5,350,59,4,547,2,2,85,n.a.,n.a.,n.a.,0,0,2121,770,1,No,Yes,178,1300,202
Kimberley Public Library,Kimberley Public Library,BKI001,6,(250) 427-3112,115 Spokane Street,Kimberley,BC,V1A 2E5,49.686154,-115.984693,37153,46233,16206,,n.d.,10,5,430,8,2,1210,1,1,65,0,0,0,0,1950,870,3300,2,No,Yes,511,1977,250
Kitimat Public Library Association,Kitimat Public Library Association,BKIT001,82,(250) 632-8985,940 Wakashan Avenue,Kitimat,BC,V8C 2G3,54.051291,-128.651814,56673,29644,11247,12823,42507,128,3,457,73,8,2604,n.a.,n.a.,n.a.,1,n.a.,15,1820,936,0,8196,2,No,No,860,2610,301
Lillooet Area Public Library,Lillooet Public Library,BLP003,74,(250) 256-7944,Recreational Centre - 930 Main Street,Lillooet,BC,V0K 1V0,50.691476,-121.937524,18364,23796,n.d.,919,15549,38,,,30,80,1021,40,,845,1,,348,0,0,4112,950,1,No,Yes,244,1576,259
Lillooet Area Public Library,Bridge River Branch,BLP001,74,(250) 259-8242,41 Bridge River Townsite,Shalalth,BC,V0N 3B0,50.732557,-122.23187,4854,1032,n.d.,287,371,0,0,,,24,230,0,,,0,,,0,0,0,454,1,No,No,56,399,99
Lillooet Area Public Library,Gold Bridge Branch,BLP002,74,(250) 238-2521,Haylmore Street,Gold Bridge,BC,V0K 1P0,50.853689,-122.83471,4939,1520,n.d.,103,1617,23,,60,31,,102,0,,,0,,,0,0,678,0,1,No,Yes,51,531,154
Mackenzie Public Library,Mackenzie Public Library,BMK001,57,(250) 997-6343,400 Skeena Drive,Mackenzie,BC,V0J 2C0,55.338469,-123.091202,25876,15735,4659,1300,44904,28,4,283,270,16,2558,0,0,0,17,0,41,1735,910,1674,2050,1,No,Yes,582,2284,276
McBride & District Public Library,McBride & District Public Library,BMB002,57,(250) 569-2411,241 Dominion Street,McBride,BC,V0J 2E0,53.2998,-120.163099,16235,18236,4479,2028,10296,132,15,1099,81,14,1030,7,1,88,0,0,0,1820,n.a.,1115,1833,2,No,Yes,215,1678,255
