X,Y,OBJECTID,FACILITYIDFK,NAME,TYPE,SUBTYPE,SUBTYPEFIELD,FEATURECODE,ADDRESS,DESCRIPT,URL,PHONE,EMAIL,OWNEDBY
604517.0093,4915919.682,25,122,Memorial Square,Point of Interest,Tourism,9,Historic Site / Point of Interest,67 Dunlop St E,,,,,CITY OF BARRIE (COB)
605008.387199999764562,4910323.718299999833,26,124,Park Place,Point of Interest,Commercial and Retail,6,Shopping Mall / Complex,100 Mapleview Dr E,,https://www.parkplacebarrie.com/,(705) 797-0777,,CITY OF BARRIE (COB)
605132.673499999567866,4914258.139499999583,27,127,Barrie Tourism Centre,Point of Interest,Tourism,2,Municipal Facility,205 Lakeshore Dr,,http://www.tourismbarrie.com/information/about_barrie/VisitorInformation.aspx,(705) 739-9444,,CITY OF BARRIE (COB)
605135.724299999885261,4914285.6392,28,127,Southshore Community Centre,City Facility,Recreation,13,Community Centre,205 Lakeshore Dr,Recreation Facilities,http://www.barrie.ca/Living/RecreationFacilities/Community-Centres/Pages/SouthshoreCommunityCentre.aspx,(705) 739-4220 ,,CITY OF BARRIE (COB)
605051.025600000284612,4909847.700799999759,29,128,Ontario Travel Information Centre,Point of Interest,Tourism,2,Provincial Facility,21 Mapleview Dr,,https://www.ontariotravel.net/en/plan/otics,(705) 725-7280,,CITY OF BARRIE (COB)
606276.889000000432134,4916608.234699999914,30,13,Parkview Centre For Seniors,City Facility,Recreation,13,Community Centre,189 Blake St,Recreation Facilities,http://www.barrie.ca/Living/RecreationFacilities/Community-Centres/Pages/ParkviewCommunityCentre.aspx,(705) 739-4220,,CITY OF BARRIE (COB)
602306.193,4917083.47499999963,31,130,Sunnidale Park Arboretum,Point of Interest,Recreation,8,Arboretum / Botanical Garden,227 Sunnidale Rd,,,,,CITY OF BARRIE (COB)
603420.588899999856949,4916784.150399999693,32,130,Dog Park,Point of Interest,Recreation,8,Dog Park,227 Sunnidale Rd,,http://www.barrie.ca/Living/ParksTrails/Pages/OffLeashRecreationArea.aspx,(705) 739-4255,,CITY OF BARRIE (COB)
602693.053299999795854,4916934.93899999931,33,130,Dorian Parker Community Centre,City Facility,Recreation,13,Community Centre,227 Sunnidale Rd,Recreation Facilities,http://www.barrie.ca/Living/RecreationFacilities/Community-Centres/Pages/DorianParkerCentre.aspx,(705) 739-4220 ,,CITY OF BARRIE (COB)
603221.032499999739,4916902.826799999923,34,130,Sunnidale Park Community Garden,Point of Interest,Agriculture,14,Community Garden,227 Sunnidale Rd,Community Garden within Sunnidale Park,https://www.barrie.ca/Living/ParksTrails/Parks/Pages/Community-Gardens.aspx,(705) 726-4242,ServiceBarrie@barrie.ca,CITY OF BARRIE (COB)
605076.990199999883771,4916132.4722,35,132,Canada Post Office,Point of Interest,Federal Facility,17,Post Office,150 Collier St,,https://www.canadapost.ca/web/en/home.page,1-866-607-6301,,PRIVATE
603052.169499999843538,4913141.88099999912,36,133,Ontario SPCA - Barrie Branch,Point of Interest,Animal Services,14,Veterinary Hospital / Clinic,91 Patterson Rd,"Monday To Saturday: 11AM To 5PM, Sunday: 12PM To 4PM",http://barrie.ontariospca.ca/barrie-home.html,(705) 728-7311,,CITY OF BARRIE (COB)
603900.831199999898672,4917224.7028,37,134,Ontario Provincial Police,Point of Interest,Provincial Facility,2,Emergency Response / Law Enforcement,20 Rose St,,https://www.opp.ca/index.php,(705) 726-6484,,CITY OF BARRIE (COB)
606096.52350000012666,4914519.52099999972,38,135,Minets Point Beach,Point of Interest,Beach,8,Beach,10 Lismer Blvd,"Playground Equipment, Beach, Washroom, Parking",https://www.barrie.ca/Living/ParksTrails/Waterfront/Pages/Beaches.aspx,,,CITY OF BARRIE (COB)
606159.346300000324845,4914449.2475,39,135,Minets Point Beach Washroom,Point of Interest,Recreation,8,Public Washroom: Seasonal,10 Lismer Blvd,,https://www.barrie.ca/Living/ParksTrails/Waterfront/Pages/Beaches.aspx,,,CITY OF BARRIE (COB)
604753.368800000287592,4916234.6413,40,137,Ontario Correctional Services,Point of Interest,Provincial Facility,2,Provincial Facility,114 Worsley St,Probation and Parole Services,https://www.mcscs.jus.gov.on.ca/english/corr_serv/comm_corr/loc_of_off/CS_pandp_office.html,(705) 739-6480,,CITY OF BARRIE (COB)
604744.27350000012666,4916296.434499999508,41,137,Barrie Jail,Point of Interest,Historical,9,Historic Site / Point of Interest,67 Mulcaster St,Historic Site,,,,FEDERAL
604823.100999999791384,4916304.888699999079,42,137,Barrie Court House,Point of Interest,Provincial Facility,2,Provincial Facility,75 Mulcaster St,,https://www.attorneygeneral.jus.gov.on.ca/english/courts/Court_Addresses/,(705) 739-6111,,CITY OF BARRIE (COB)
604781.644500000402331,4916239.7565,43,137,Land Registry Office,Point of Interest,Provincial Facility,2,Provincial Facility,114 Worsley St,Simcoe Land Registry Office 51,https://www.ontario.ca/page/land-registry-offices-lro,(705) 725-7232,,CITY OF BARRIE (COB)
604653.651999999769032,4916119.8015,44,139,Circle at the Centre,Point of Interest,Recreation,8,Ice Rink,70 Collier St,Seasonal outdoor ice rink with public Ice Skating ,https://www.barrie.ca/Living/RecreationFacilities/Pages/Arenas.aspx,(705) 726-4242 ,ServiceBarrie@barrie.ca,CITY OF BARRIE (COB)
604654.533200000412762,4916102.8505,45,139,Farmers Market,Point of Interest,Cultural Centre,9,Historic Site / Point of Interest,70 Collier St,Every Saturday At 7 AM,http://barriefarmersmarket.ca/,,info@barriefarmersmarket.ca,CITY OF BARRIE (COB)
604612.215800000354648,4916114.7752,46,139,Barrie City Hall,City Facility,City Service,2,Municipal Facility,70 Collier St,City Service,http://www.barrie.ca,(705) 726-4242,,CITY OF BARRIE (COB)
604400.310499999672174,4915636.480699999258,47,14,Spirit Catcher,Point of Interest,Tourism,9,Historic Site / Point of Interest,15 Lakeshore Dr,,,,,CITY OF BARRIE (COB)
604321.283099999651313,4915442.4559,48,14,City Of Barrie Marina,City Facility,Marina,5,Harbor / Marina,55 Lakeshore Dr,Marina,http://www.barrie.ca/Living/RecreationFacilities/Pages/Marina.aspx,(705) 739-4218,marina@barrie.ca ,CITY OF BARRIE (COB)
604448.323400000110269,4916248.8805,49,140,Barrie Public Library - Downtown Branch,City Facility,Library,9,Library,60 Worsley St,Library,http://www.library.barrie.on.ca/,(705) 728-1010,,CITY OF BARRIE (COB)
604476.10120000038296,4916157.662,50,141,Service Canada,Point of Interest,Federal Facility,2,Federal Facility,48 Owen St,,http://www.servicecanada.gc.ca,1-800-622-6232,,CITY OF BARRIE (COB)
604728.925499999895692,4916053.8725,51,142,Maclaren Art Centre,City Facility,Cultural Centre,9,Museum,37 Mulcaster St,,http://maclarenart.com/,(705) 721-9696,maclaren@maclarenart.com,CITY OF BARRIE (COB)
604251.763799999840558,4915780.1412,52,143,Barrie Bus Terminal,City Facility,Transportation,5,Bus Station / Dispatch Facility,24 Maple Ave Suite 205,City Service,http://www.barrie.ca/Living/Getting%20Around/BarrieTransit/Pages/Information.aspx,(705) 739-4209,transit@barrie.ca ,CITY OF BARRIE (COB)
604465.17850000038743,4915907.69899999909,53,144,Barrie Downtown Business Improvement Association,Point of Interest,Private,1,General,4 Simcoe St,,http://downtownbarrie.ca/bia/,(705) 734-1414,info@downtownbarrie.ca,CITY OF BARRIE (COB)
604223.265999999828637,4915684.1665,54,146,Service Ontario Government Information Centre,Point of Interest,Provincial Facility,2,Provincial Facility,34 Simcoe St,,https://www.services.gov.on.ca,1-800-267-8097,,CITY OF BARRIE (COB)
604193.317499999888241,4915663.3043,55,146,Ministry Of Community and Social Services,Point of Interest,Provincial Facility,2,Provincial Facility,34 Simcoe St,,http://www.mcss.gov.on.ca/en/mcss/,(705) 737-1311,,CITY OF BARRIE (COB)
603952.392,4916016.280799999833,56,147,Greater Barrie Chamber Of Commerce,Point of Interest,Private,1,General,97 Toronto St,,http://barriechamber.com/,(705) 721-5000,admin@barriechamber.com,PRIVATE
604077.357699999585748,4916292.960599999875,57,148,Barrie Ontario Works Office,Point of Interest,Provincial Facility,2,Provincial Facility,136 Bayfield St,,http://www.mcss.gov.on.ca/en/mcss/programs/social/ow/contacts/ow_municipal/central_region.aspx,(705) 722-3132,,CITY OF BARRIE (COB)
609369.414699999616,4911790.470799999312,58,149,Barrie South GO Train Station ,City Facility,Transportation,5,Railroad Station,833 Yonge St,,https://www.gotransit.com/en/,(416) 869-3200,,CITY OF BARRIE (COB)
604788.2171,4916428.1871,59,150,Canada Revenue Agency,Point of Interest,Federal Facility,2,Federal Facility,81 Mulcaster St,,http://www.cra-arc.gc.ca/cntct/prv/tstc/brr-eng.html,1-800-959-8281,,CITY OF BARRIE (COB)
604728.9534,4909036.920299999416,60,152,Little Start Child Care - Bryne,School,Private,4,Private School: Elementary,565 Bryne Dr,Day Care,https://littlestart.ca/,(705) 728-7807,,PRIVATE
604632.108099999837577,4918718.8649,61,153,Monsignor Clair Catholic School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,230 Cundles Rd E,,http://mcl.schools.smcdsb.on.ca/,(705) 737-2812 ,,SCHOOL BOARD
604743.901100000366569,4913219.86,62,154,Allandale Heights Public School,School,Simcoe County District Board Of Education,4,School: Elementary,124 Bayview Dr,,http://all.scdsb.on.ca/,(705) 728-3601,,SCHOOL BOARD
604798.585900000296533,4912641.923599999398,63,155,Innisdale Secondary School,School,Simcoe County District Board Of Education,4,School: High School,95 Little Ave,,http://iss.scdsb.on.ca/,(705) 726-2552,,SCHOOL BOARD
603566.465200000442564,4916428.090399999171,64,158,Hillcrest Public School,School,Simcoe County District Board Of Education,4,School: Elementary,184 Toronto St,,http://hil.scdsb.on.ca/,(705) 728-5246,,SCHOOL BOARD
604431.1255,4917015.6763,65,159,Oakley Park Public School,School,Simcoe County District Board Of Education,4,School: Elementary,22 Davidson St,,http://oak.scdsb.on.ca/,(705) 728-3307,,SCHOOL BOARD
601530.179100000299513,4916083.170399999246,66,,Lampman Lane Community Centre,City Facility,Recreation,13,Community Centre,59 Lampman Lane,Recreation Facilities,http://www.barrie.ca/Living/RecreationFacilities/Community-Centres/Pages/LampmanLaneCommunityCentre.aspx,(705) 739-4224,,SCHOOL BOARD
604345.833700000308454,4917218.0011,67,160,Barrie North Collegiate Institute,School,Simcoe County District Board Of Education,4,School: Elementary,110 Grove St E,,http://nor.scdsb.on.ca/,(705) 726-6541,,SCHOOL BOARD
605175.364,4917846.0261,68,161,Maple Grove Public School,School,Simcoe County District Board Of Education,4,School: Elementary,242 Grove St E,,http://map.scdsb.on.ca/,(705) 728-5201,,SCHOOL BOARD
605534.371000000275671,4916790.843299999833,69,162,Codrington Public School,School,Simcoe County District Board Of Education,4,School: Elementary,217 Codrington St,,http://cod.scdsb.on.ca/,(705) 728-3084,,SCHOOL BOARD
607126.829099999741,4917123.10889999941,70,163,Johnson Street Public School,School,Simcoe County District Board Of Education,4,School: Elementary,105 Johnson St,,http://jon.scdsb.on.ca/,(705) 728-9251,,SCHOOL BOARD
605796.261900000274181,4917549.1278,71,164,Steel Street Public School,School,Simcoe County District Board Of Education,4,School: Elementary,36 Steel St,,http://sst.scdsb.on.ca/,(705) 728-9292,,SCHOOL BOARD
606555.674899999984,4917730.7364,72,165,Eastview Secondary School,School,Simcoe County District Board Of Education,4,School: High School,421 Grove St E,"Eastview is a Grade 9 - 12 public high school located in Barrie, Ontario.",http://eas.scdsb.on.ca/,(705) 728-1321,,SCHOOL BOARD
605953.496199999936,4918450.0963,73,166,Georgian College,School,College,4,College,1 Georgian Dr,,http://www.georgiancollege.ca/,(705) 728-1968,inquire@georgiancollege.ca,PRIVATE
606094.124099999666214,4918498.206499999389,74,166,Georgian Theatre,Point of Interest,Cultural Centre,9,Theatre / Opera,"1 Georgian Dr, Building C",Professional performing arts facility on the campus of Georgian College.,https://www.barrie.ca/Culture/Pages/theatres.aspx,(705) 739-4228,theatres@barrie.ca,PRIVATE
603146.140800000168383,4919226.778599999845,75,167,Sister Catherine Donnelly Catholic School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,123 Hanmer St E,,http://scd.schools.smcdsb.on.ca/,(705) 726-1221,info@smcdsb.on.ca,SCHOOL BOARD
602304.092699999921,4916283.5899,76,168,Portage View Public School,School,Simcoe County District Board Of Education,4,School: Elementary,124 Letitia St,,http://por.scdsb.on.ca/,(705) 728-1302,,SCHOOL BOARD
601474.3936,4916072.6392,77,,Andrew Hunter Elementary School,School,Simcoe County District Board Of Education,4,School: Elementary,59 Lampman Ln,,http://anh.scdsb.on.ca/,(705) 728-5420,,CITY OF BARRIE (COB)
606794.819299999624491,4917749.31599999964,78,17,Eastview Arena,City Facility,Sport Centre,8,Ice Arena,453 Grove St E,Sport Centre,http://www.barrie.ca/Living/RecreationFacilities/Community-Centres/Pages/EastviewArena.aspx,(705) 739-4220,,CITY OF BARRIE (COB)
601004.312,4916629.025299999863,79,170,Emma King Elementary School,School,Simcoe County District Board Of Education,4,School: Elementary,383 Cundles Rd W,,http://emk.scdsb.on.ca/,(705) 728-5401,,SCHOOL BOARD
601870.61710000038147,4917953.141,80,171,West Bayfield Elementary School,School,Simcoe County District Board Of Education,4,School: Elementary,49 Ford St,,http://wes.scdsb.on.ca/,(705) 725-8229,,SCHOOL BOARD
600395.497499999590218,4916118.1377,81,172,The Good Shepherd Catholic School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,23 Cloughley Dr,,http://gsh.schools.smcdsb.on.ca/,(705) 728-2302,,SCHOOL BOARD
601990.9901,4915570.488199999556,82,173,St. Mary's Catholic School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,340 Leacock Dr,,http://smb.schools.smcdsb.on.ca/,(705) 726-1843,,CITY OF BARRIE (COB)
601326.790199999697506,4908504.7411,83,174,St. Nicholas Elementary School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,100 Lougheed Rd,,http://nic.schools.smcdsb.on.ca/,(705) 737-9082,,SCHOOL BOARD
601955.961799999698997,4909599.56819999963,84,175,St. Bernadette Elementary School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,101 Marsellus Dr,,http://ber.schools.smcdsb.on.ca/,(705) 733-0459,,SCHOOL BOARD
608447.602300000376999,4912355.036299999803,85,176,St. John Paul II Catholic School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,211 Ashford Dr,,http://pjp.schools.smcdsb.on.ca/,(705) 722-0212,,SCHOOL BOARD
608408.9764,4912155.7783,86,177,St. Peter's Catholic Secondary School,School,Simcoe Muskoka Catholic District School Board,4,School: High School,201 Ashford Dr,,http://pet.schools.smcdsb.on.ca/,(705) 734-0168,,SCHOOL BOARD
606793.698900000192225,4912012.1931,87,178,St. Michael The Archangel Elementary School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,349 Big Bay Point Rd,,http://mac.schools.smcdsb.on.ca/,(705) 733-9611,,SCHOOL BOARD
604283.926300000399351,4913474.7092,88,179,St. John Vianney Catholic School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,393 Innisfil St,,http://sjv.schools.smcdsb.on.ca/,(705) 726-6782,,SCHOOL BOARD
601723.3355,4912265.955199999735,89,180,St. Catherine Of Siena School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,111 Summerset Dr,,http://cat.schools.smcdsb.on.ca/home,(705) 728-7301,,SCHOOL BOARD
600996.05599999987,4911459.249099999666,90,181,St. Joan Of Arc Catholic High School,School,Simcoe Muskoka Catholic District School Board,4,School: High School,460 Mapleton Ave,,http://joa.schools.smcdsb.on.ca/,(705) 721-0398,,SCHOOL BOARD
603569.018299999646842,4918036.150399999693,91,182,Cundles Heights Public School,School,Simcoe County District Board Of Education,4,School: Elementary,60 Cundles Rd E,Cundles Heights Public School is a public school serving grades JK - 8.,http://cun.scdsb.on.ca/,(705) 728-9658,,SCHOOL BOARD
603260.46030000038445,4918891.38099999912,92,183,Terry Fox Elementary School,School,Simcoe County District Board Of Education,4,School: Elementary,110 Livingstone St E,Terry Fox Elementary School is a public school serving grades JK - 8.,http://ter.scdsb.on.ca/,(705) 727-4267,,SCHOOL BOARD
604361.1985,4914035.22849999927,93,184,Unity Christian High School,School,Private,4,Private School: High School,25 Burton Ave,"Registered with the Ministry of Education, School 667366, Unity Christian High School is a Christian private secondary school serving grades 9-12.",http://unitychristianhigh.ca/,(705) 792-6915,info@unitychristianhigh.ca,PRIVATE
608077.593799999915,4913697.1754,94,185,Algonquin Ridge Elementary School,School,Simcoe County District Board Of Education,4,School: Elementary,191 Golden Meadow Rd,Algonquin Ridge Elementary School is a public school serving grades JK - 8.,http://alr.scdsb.on.ca/,(705) 737-4080,,SCHOOL BOARD
605738.9347,4913315.765399999917,95,186,Assikinack Public School,School,Simcoe County District Board Of Education,4,School: Elementary,226 Little Ave,Assikinack Public School is a public school serving grades JK - 8.,http://ask.scdsb.on.ca/,(705) 726-4256,,SCHOOL BOARD
607782.844499999657273,4911660.139299999923,96,187,Mapleview Heights Elementary School,School,Simcoe County District Board Of Education,4,School: Elementary,180 Esther Dr,Mapleview Heights Elementary School is a public school serving grades JK-8.,http://mht.scdsb.on.ca/,(705) 725-7980,,SCHOOL BOARD
607722.087000000290573,4912600.1809,97,188,Warnica Public School,School,Simcoe County District Board Of Education,4,School: Elementary,211 Warnica Rd,Warnica Public School is a public school serving grades JK-8.,http://war.scdsb.on.ca/,(705) 722-3000,,SCHOOL BOARD
601283.379099999554455,4909184.9492,98,189,W.C. Little Elementary School,School,Simcoe County District Board Of Education,4,School: Elementary,11 Bear Creek Dr,W.C. Little Elementary School is a public school serving grades JK-8.,http://wcl.scdsb.on.ca/,(705) 725-7970,,SCHOOL BOARD
601847.2555,4914950.918,99,19,R.A. Archer Operations Centre & City Greenhouses,City Facility,City Service,2,Municipal Facility,165 Ferndale Dr N,City Service,http://www.barrie.ca/City%20Hall/Departments/InfrastructureAndGrowthManagement/Pages/RoadsParksFleet.aspx,(705) 739-4255,,SCHOOL BOARD
600954.807099999859929,4909533.1895,100,190,Bear Creek Secondary School,School,Simcoe County District Board Of Education,4,School: High School,100 Red Oak Dr,Bear Creek Secondary School is a public secondary school serving grades 9-12.,http://bss.scdsb.on.ca/,(705) 725-7712,,SCHOOL BOARD
602428.398699999786913,4910423.0719,101,191,Holly Meadows Elementary School,School,Simcoe County District Board Of Education,4,School: Elementary,151 Mapleton Ave,Holly Meadows Elementary School is a public school serving grades JK-8.,http://hol.scdsb.on.ca/,(705) 733-2633,,SCHOOL BOARD
602267.176799999549985,4912462.651799999177,102,192,Ferndale Woods Elementary School,School,Simcoe County District Board Of Education,4,School: Elementary,170 Ferndale Dr S,Ferndale Woods Elementary School is a public school serving grades JK-8.,http://fer.scdsb.on.ca/,(705) 733-5636,,SCHOOL BOARD
602356.831199999898672,4908627.633899999782,103,193,Timothy Christian School,School,Private,4,Private School: Elementary,750 Essa Rd,"Registered with the Ministry of Education, School 885096, Timothy Christian School is a private Christian school serving grades JK-8.",http://www.timothychristianschool.ca/,(705) 726-6621,tcsgen@timothychristianschool.ca,PRIVATE
603809.760800000280142,4916292.5052,104,195,Maple Hill Montessori School,School,Private,4,Private School: Elementary,147 Toronto St,,https://www.facebook.com/Maple-Hill-Montessori-School-450550158334188/,(705) 728-1008,,PRIVATE
604810.649799999780953,4909022.2133,105,197,Little Start Child Care,School,Private,4,Private School: Elementary,45 Commerce Park Dr - Unit C,Day Care,https://littlestart.ca/,(705) 728-7807,,PRIVATE
608030.1694,4911835.3361,106,198,École Élémentaire La Source,School,Conseil Scolaire Viamonde,4,School: Elementary,70 Madelaine Dr,,http://csviamonde.ca/ecoles/lasource/Pages/default.aspx,(705) 730-6625,lasource@csviamonde.ca,SCHOOL BOARD
602272.557699999772012,4916696.042199999094,107,199,École Secondaire Catholique Nouvelle Alliance,School,Conseil Scolaire De District Catholique Centre-Sud,4,School: High School,249 Anne St N,,https://esna.csdccs.edu.on.ca/,(705) 737-5260,,SCHOOL BOARD
603870.537999999709427,4915921.7243,108,2,Queens Park Skate Park,Point of Interest,Recreation,8,Skateboard Park,16 Park St,Sport Centre,www.barrie.ca ,,"cityinfo@barrie.ca;",CITY OF BARRIE (COB)
604887.321399999782443,4918614.597799999639,109,200,École Frere Andre,School,Conseil Scolaire De District Catholique Centre-Sud,4,School: Elementary,273 Cundles Rd E,,https://fa.csdccs.edu.on.ca/,(705) 726-1324,,SCHOOL BOARD
606226.661399999633431,4917492.6771,110,201,St. Monica's Catholic School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,90 Steel St,,http://smo.schools.smcdsb.on.ca/,(705) 726-8221,,SCHOOL BOARD
604759.152800000272691,4918536.0152,111,202,St. Joseph's Catholic High School,School,Simcoe Muskoka Catholic District School Board,4,School: High School,243 Cundles Rd E,,http://sjo.schools.smcdsb.on.ca/,(705) 728-3120 ,,SCHOOL BOARD
602047.700000000186265,4918426.2105,112,203,St. Marguerite D'Youville Catholic School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,87 Hanmer St W,,http://mdy.schools.smcdsb.on.ca/,(705) 726-5849,,SCHOOL BOARD
603610.677799999713898,4910761.4513,113,204,Trillium Woods Elementary School,School,Simcoe County District Board Of Education,4,School: Elementary,20 Elmbrook Dr,,http://trw.scdsb.on.ca/,(705)792-7766,,SCHOOL BOARD
602514.099000000394881,4909015.276699999347,114,205,École Secondaire Roméo-Dallaire,School,Conseil Scolaire Viamonde,4,School: High School,736 Essa Rd,,http://csviamonde.ca/ecoles/romeodallaire/Pages/default.aspx,(705) 792-2341,,SCHOOL BOARD
610586.880800000391901,4912315.412299999967,115,206,Saint Gabriel The Archangel Catholic School,School,Simcoe Muskoka Catholic District School Board,4,School: Elementary,130 Prince William Way,,http://sga.schools.smcdsb.on.ca/,(705) 722-0293,,SCHOOL BOARD
601844.781700000166893,4917988.491399999708,116,207,Barrie Montessori and Elementary Private School,School,Private,4,Private School: Elementary,161 Hamner St W,"Registered with the Ministry of Education, School 883576",http://www.barriemontessori.ca/welcome.html,(705) 728-0303,info@barriemontessori.ca,PRIVATE
