POI Identifier;Address;Description;Name;geo_shape;geo_point_2d
1583;1066 HUDSON DR;Childcare Facility;KINGSTON FAMILY Y - BAYRIDGE S.A.;"{""type"": ""Point"", ""coordinates"": [-76.59376301046456, 44.24903684112939]}";44.2490368411, -76.5937630105
856;91 COLBORNE ST;Place of Worship;THE NEXT CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.49079273246859, 44.23479567608623]}";44.2347956761, -76.4907927325
1172;68 CLARENCE ST;Park;BOUCHER PARK;"{""type"": ""Point"", ""coordinates"": [-76.48261228910813, 44.229793372994465]}";44.229793373, -76.4826122891
2417;185 ONTARIO ST;Change Room;CONFEDERATION PARK MARINA OFFICE/CHANGE ROOMS;"{""type"": ""Point"", ""coordinates"": [-76.48013882109244, 44.228736719885866]}";44.2287367199, -76.4801388211
61;1648 JOYCEVILLE RD;Monument;CENTENNIAL MONUMENT (JOYCEVILLE);"{""type"": ""Point"", ""coordinates"": [-76.32985584185454, 44.302134332055644]}";44.3021343321, -76.3298558419
1150;820 SOMERSET CRES;Park;SUTTON MILLS PARK;"{""type"": ""Point"", ""coordinates"": [-76.57721229439551, 44.250784340890235]}";44.2507843409, -76.5772122944
1106;975 OLD COLONY RD;Park;OLD COLONY PARK;"{""type"": ""Point"", ""coordinates"": [-76.583349811146, 44.25342156088017]}";44.2534215609, -76.5833498111
3966;;Cell Antenna;75 BADER LN CELL ANTENNA;"{""type"": ""Point"", ""coordinates"": [-76.49847967834556, 44.2252204803305]}";44.2252204803, -76.4984796783
1594;51 VIRGINIA STREET;Childcare Facility;LA GARDERIE CROQUE SOLEIL - S.A.;"{""type"": ""Point"", ""coordinates"": [-76.48681345594026, 44.26945414229659]}";44.2694541423, -76.4868134559
1595;2100 UNITY ROAD;Childcare Facility;F.C.C.C. - ELGINBURG B.A. PROGRAM;"{""type"": ""Point"", ""coordinates"": [-76.5395496685909, 44.31937765345184]}";44.3193776535, -76.5395496686
1601;792 HENDERSON BLVD;Tennis Court;HENDERSON PARK TENNIS COURTS;"{""type"": ""Point"", ""coordinates"": [-76.57886185214102, 44.22901802683262]}";44.2290180268, -76.5788618521
3708;114 WRIGHT CR;Community Centre;ONGWANADA COMMUNITY CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.51628276741499, 44.23998560238925]}";44.2399856024, -76.5162827674
3754;745 PROGRESS AV;Recreation Facility;YMCA KINGSTON WEST;"{""type"": ""Point"", ""coordinates"": [-76.57493740935936, 44.24770959478228]}";44.2477095948, -76.5749374094
3550;216 ONTARIO ST;Market Square;SPRINGER MARKET SQUARE;"{""type"": ""Point"", ""coordinates"": [-76.48121009697284, 44.230155178337505]}";44.2301551783, -76.481210097
4448;;Private Ball Diamond;INVISTA Ball Diamond;"{""type"": ""Point"", ""coordinates"": [-76.54692125303167, 44.21210660476115]}";44.2121066048, -76.546921253
743;945 GARDINERS RD;Bus Transfer Station;BUS TRANSFER STATION - CATARAQUI TOWN CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.57262672305914, 44.25506869500336]}";44.255068695, -76.5726267231
1718;62 FIFTH FIELD COMPANY LN;Queen's University;CARRUTHERS HALL;"{""type"": ""Point"", ""coordinates"": [-76.49369993652006, 44.226407496949136]}";44.2264074969, -76.4936999365
3524;190 UNIVERSITY AV;Queen's University;QUEEN'S JOURNAL;"{""type"": ""Point"", ""coordinates"": [-76.4959032227558, 44.22955493563688]}";44.2295549356, -76.4959032228
2810;24 NAVY WY;Reserve Training Centre;HMCS CATARAQUI;"{""type"": ""Point"", ""coordinates"": [-76.4705087180024, 44.23642867750732]}";44.2364286775, -76.470508718
3535;KING ST W;Queen's University;EMERGENCY;"{""type"": ""Point"", ""coordinates"": [-76.49292529995385, 44.22338447457458]}";44.2233844746, -76.4929253
1320;151 ORDNANCE ST;Bench;;"{""type"": ""Point"", ""coordinates"": [-76.4880298366255, 44.23568066571564]}";44.2356806657, -76.4880298366
3109;284 EARL ST;Swimming Pool;QUEEN'S UNIVERSITY AQUATICS AND RECREATION CENTRE (ARC) (SWIMMING POOL);"{""type"": ""Point"", ""coordinates"": [-76.49420032106597, 44.22937298082639]}";44.2293729808, -76.4942003211
883;30 COLBORNE ST;Place of Worship;KINGSTON PRESBYTERY RESOURCE CENTRE-UNITED CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.4881019709105, 44.23393425159671]}";44.2339342516, -76.4881019709
928;115 JOYCE ST;Place of Worship;KINGDOM HALL OF JEHOVAH'S WITNESSES;"{""type"": ""Point"", ""coordinates"": [-76.47780782721918, 44.27526060073348]}";44.2752606007, -76.4778078272
17;2069 BATTERSEA RD;Long Term Care;FAIRMOUNT HOME FOR THE AGED;"{""type"": ""Point"", ""coordinates"": [-76.46607045678756, 44.312985807849216]}";44.3129858078, -76.4660704568
950;90 JOHNSON ST;Museum;ANGLICAN DIOCESE OF ONTARIO ARCHIVES;"{""type"": ""Point"", ""coordinates"": [-76.4837807378325, 44.22921241605698]}";44.2292124161, -76.4837807378
794;74 UNIVERSITY AVE;Education Facility;QUEEN'S UNIVERSITY;"{""type"": ""Point"", ""coordinates"": [-76.49600352145777, 44.22665079586311]}";44.2266507959, -76.4960035215
1835;487 BROCK ST;Outdoor Rink;VICTORIA PARK OUTDOOR RINK;"{""type"": ""Point"", ""coordinates"": [-76.49956024177531, 44.23327225091417]}";44.2332722509, -76.4995602418
3668;1180 WOODBINE RD;;WOODBINE PARK SPLASH PAD;"{""type"": ""Point"", ""coordinates"": [-76.60269085363043, 44.25862427609436]}";44.2586242761, -76.6026908536
3220;1138 LEN BIRCHALL WY;;CENTRAL AIRWAYS CORP.;"{""type"": ""Point"", ""coordinates"": [-76.5984359912014, 44.21824109093467]}";44.2182410909, -76.5984359912
1382;487 BROCK ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.49812346213892, 44.2334085314579]}";44.2334085315, -76.4981234621
1624;22 GENERAL CRERAR CRES;Tennis Court;ROYAL MILITARY COLLEGE OF CANADA;"{""type"": ""Point"", ""coordinates"": [-76.46744386074685, 44.235457865448055]}";44.2354578654, -76.4674438607
1647;22 GENERAL CRERAR CRES;Tennis Court;ROYAL MILITARY COLLEGE OF CANADA;"{""type"": ""Point"", ""coordinates"": [-76.46719045699919, 44.23579128194399]}";44.2357912819, -76.467190457
2074;130 JOHNSON ST;Washroom;KINGSTON FRONTENAC LIBRARY - CENTRAL BRANCH;"{""type"": ""Point"", ""coordinates"": [-76.48461525402558, 44.22958542507643]}";44.2295854251, -76.484615254
1622;70 CRAFTSMAN BLVD;Tennis Court;CANADIAN FORCES BASE KINGSTON;"{""type"": ""Point"", ""coordinates"": [-76.4588357627242, 44.24360964428243]}";44.2436096443, -76.4588357627
1630;60 UNION ST;Tennis Court;QUEEN'S UNIVERSITY - MAIN CAMPUS;"{""type"": ""Point"", ""coordinates"": [-76.49357432272312, 44.22508818725559]}";44.2250881873, -76.4935743227
2014;303 YORK ST;Washroom;KINGSTON MEMORIAL CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.50024966016815, 44.239471089954016]}";44.23947109, -76.5002496602
2016;303 YORK ST;Washroom;KINGSTON MEMORIAL CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.49938245815295, 44.23937951385714]}";44.2393795139, -76.4993824582
1100;1040 MONA DR;Park;DUNHAM PARK;"{""type"": ""Point"", ""coordinates"": [-76.6027884560641, 44.255131509232456]}";44.2551315092, -76.6027884561
1213;200 KING ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.4965776772027, 44.22264542371764]}";44.2226454237, -76.4965776772
1842;166 BROCK ST;Ambulance Station;FRONTENAC PARAMEDIC SERVICES STATION 4;"{""type"": ""Point"", ""coordinates"": [-76.48554161913361, 44.23061176305876]}";44.2306117631, -76.4855416191
2872;863 PRINCESS ST SUITE 301;Radio Station;KIX (COUNTRY) 93.5 FM;"{""type"": ""Point"", ""coordinates"": [-76.50969375207788, 44.240709121516346]}";44.2407091215, -76.5096937521
809;641 TRUEDELL RD;Education Facility;TRUEDELL PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.5801954761427, 44.244014248475324]}";44.2440142485, -76.5801954761
15;805 RIDLEY DR;Long Term Care;FAIRFIELD MANOR WEST;"{""type"": ""Point"", ""coordinates"": [-76.57881437076728, 44.25751107623127]}";44.2575110762, -76.5788143708
994;830 SAFARI DR;Park;RIDGEWOOD PARK;"{""type"": ""Point"", ""coordinates"": [-76.61365301452437, 44.25130789153989]}";44.2513078915, -76.6136530145
1329;2991 2 HWY;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.309257260045, 44.291305517403366]}";44.2913055174, -76.30925726
1752;36 UNIVERSITY AVE;Gallery;AGNES ETHERINGTON ART CENTRE (GALLERY);"{""type"": ""Point"", ""coordinates"": [-76.49604117678346, 44.22548148950486]}";44.2254814895, -76.4960411768
532;190 WELBORNE AVE;Soccer Field;WELBORNE PUBLIC SCHOOL SOCCER FIELD;"{""type"": ""Point"", ""coordinates"": [-76.57860842993387, 44.22175563894127]}";44.2217556389, -76.5786084299
775;19 CRERAR BLVD;Education Facility;R. G. SINCLAIR PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.56944931461159, 44.216322290852055]}";44.2163222909, -76.5694493146
336;1388 WOODFIELD CRES;Ball Diamond;WESTBROOK PARK BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.61956992051388, 44.27065577625518]}";44.2706557763, -76.6195699205
844;2 KING ST W;Historic Site;MURNEY TOWER NATIONAL HISTORIC SITE;"{""type"": ""Point"", ""coordinates"": [-76.49042239595622, 44.22230714641234]}";44.2223071464, -76.490422396
1658;329 EARL ST;Queen's University;HARKNESS INTERNATIONAL HALL;"{""type"": ""Point"", ""coordinates"": [-76.49766741192859, 44.230019007748766]}";44.2300190077, -76.4976674119
4369;800 INNOVATION DR;Business Park;ST. LAWRENCE BUSINESS PARK;"{""type"": ""Point"", ""coordinates"": [-76.44109270545276, 44.27336482712736]}";44.2733648271, -76.4410927055
249;6 KEYES ST;Playground;KEYES PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.56471801185961, 44.20998779548932]}";44.2099877955, -76.5647180119
1509;271 BROCK ST;Fire Station;FIRE STATION 4;"{""type"": ""Point"", ""coordinates"": [-76.48982444670726, 44.23207590606941]}";44.2320759061, -76.4898244467
4429;360 KINGSTON MILLS RD;;Meadowcrest Park Playground;"{""type"": ""Point"", ""coordinates"": [-76.42208945219633, 44.3006822672414]}";44.3006822672, -76.4220894522
777;164 VAN ORDER DR;Education Facility;KINGSTON CHINESE HERITAGE SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.52140864575135, 44.237997159183855]}";44.2379971592, -76.5214086458
1580;4075 BATH RD;Childcare Facility;KDC - COLLINS BAY CHILD CARE CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.61225455723479, 44.24113130625679]}";44.2411313063, -76.6122545572
3156;945 GARDINERS RD;Post Office;POST OFFICE (SHOPPERS DRUG MART #0611);"{""type"": ""Point"", ""coordinates"": [-76.57177385012263, 44.25558135370953]}";44.2555813537, -76.5717738501
3582;5 COURT ST;Court House;FRONTENAC COUNTY COURT HOUSE HISTORIC SITE;"{""type"": ""Point"", ""coordinates"": [-76.48943042570566, 44.227874951983495]}";44.227874952, -76.4894304257
1561;120 NORMAN ROGERS DR;Childcare Facility;F.C.C.C. - CENTENNIAL S.A.;"{""type"": ""Point"", ""coordinates"": [-76.51941183007146, 44.23146447479152]}";44.2314644748, -76.5194118301
282;805 CATARAQUI WOODS DR;Playground;CATARAQUI WOODS PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.58070431608336, 44.2645512504173]}";44.2645512504, -76.5807043161
1584;1255 BIRCHWOOD DR;Childcare Facility;F.C.C.C. - CATARAQUI WOODS;"{""type"": ""Point"", ""coordinates"": [-76.57965505530645, 44.26761659060759]}";44.2676165906, -76.5796550553
305;1648 JOYCEVILLE RD;Ball Diamond;PEIRSON PARK BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.33142238275008, 44.302287996867165]}";44.3022879969, -76.3314223828
1658;45 UNION ST;Queen's University;BEAMISH-MUNRO HALL;"{""type"": ""Point"", ""coordinates"": [-76.49264707597668, 44.228098705527984]}";44.2280987055, -76.492647076
1170;33 BAGOT ST;Park;CITY PARK;"{""type"": ""Point"", ""coordinates"": [-76.4882334785471, 44.22556427716807]}";44.2255642772, -76.4882334785
2901;529 ST. MARTHA ST;Childcare Facility;SERVICE DE GARDE SIR JOHN A MACDONALD;"{""type"": ""Point"", ""coordinates"": [-76.44455806893136, 44.26639640207513]}";44.2663964021, -76.4445580689
407;974 PEMBRIDGE CRES;Basketball Court;ARCHBISHOP O'SULLIVAN CATHOLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.58427796788108, 44.24955900402914]}";44.249559004, -76.5842779679
358;775 PROGRESS AVE;Ball Diamond;BAY PARK BAPTIST CHURCH BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.57780061062944, 44.246069783329254]}";44.2460697833, -76.5778006106
494;19 CRERAR BLVD;Soccer Field;R G SINCLAIR PUBLIC SCHOOL SOCCER FIELD;"{""type"": ""Point"", ""coordinates"": [-76.56991353580572, 44.216038824953344]}";44.216038825, -76.5699135358
1704;45 FIFTH FIELD COMPANY LN;Queen's University;MILLER HALL - BRUCE WING;"{""type"": ""Point"", ""coordinates"": [-76.49314526132925, 44.22709488548656]}";44.2270948855, -76.4931452613
1570;455 ST. MARTHA ST;Childcare Facility;KDC - ST. MARTHA CHILD CARE CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.44778423821785, 44.26527681183916]}";44.2652768118, -76.4477842382
1010;1334 CHANNELVIEW RD;Park;WHITMOUNT ESTATES PARK;"{""type"": ""Point"", ""coordinates"": [-76.33336580451572, 44.280115308835015]}";44.2801153088, -76.3333658045
1117;15 OAK ST;Park;MAX JACKSON PARK;"{""type"": ""Point"", ""coordinates"": [-76.50322147113783, 44.25122806812108]}";44.2512280681, -76.5032214711
1320;151 ORDNANCE ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.48821232903289, 44.235197558203616]}";44.2351975582, -76.488212329
1396;151 ORDNANCE ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.48878973894158, 44.235279287356086]}";44.2352792874, -76.4887897389
2968;443 UNION ST;Government Centre;CORRECTIONS CANADA TRAINING CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.51116111571179, 44.22580800036153]}";44.2258080004, -76.5111611157
3499;1 KING ST E;Historic Site;FRONTENAC VILLAGE;"{""type"": ""Point"", ""coordinates"": [-76.47915787871659, 44.234679419431345]}";44.2346794194, -76.4791578787
2415;;Village;KINGSTON MILLS;"{""type"": ""Point"", ""coordinates"": [-76.4298963733112, 44.294456878112186]}";44.2944568781, -76.4298963733
1607;346 COLLEGE ST;Tennis Court;COMPTON PARK TENNIS COURT;"{""type"": ""Point"", ""coordinates"": [-76.51062673924993, 44.23498806548609]}";44.2349880655, -76.5106267392
1614;45 NAPIER ST;Tennis Court;KINGSTON TENNIS CLUB;"{""type"": ""Point"", ""coordinates"": [-76.50605653259922, 44.22832766003785]}";44.22832766, -76.5060565326
1215;2991 2 HWY;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.31065782424173, 44.29181958913679]}";44.2918195891, -76.3106578242
1192;1 KING ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.48994528321914, 44.22262693592376]}";44.2226269359, -76.4899452832
265;530 EARL ST;Playground;WINSTON CHURCHILL SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.50407153753275, 44.22898240012015]}";44.2289824001, -76.5040715375
269;52 KENWOODS CIR;Playground;LILLA BURKE PARK;"{""type"": ""Point"", ""coordinates"": [-76.46805495693664, 44.25613495738283]}";44.2561349574, -76.4680549569
272;196 YONGE ST;Playground;GARRIGAN PARK;"{""type"": ""Point"", ""coordinates"": [-76.51824550467873, 44.223492520625115]}";44.2234925206, -76.5182455047
273;836 MUIRFIELD CRES;Playground;BEXLEY GATE PARK PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.56140650923133, 44.253456838844116]}";44.2534568388, -76.5614065092
1238;23 ONTARIO ST;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.48429341423643, 44.22394038397395]}";44.223940384, -76.4842934142
290;42 PAARDEBURG PL;Playground;PAARDEBURG PARK (CFB);"{""type"": ""Point"", ""coordinates"": [-76.4505873412433, 44.239176441458824]}";44.2391764415, -76.4505873412
4488;171 ALBERT ST;Parking Lot;QUEEN'S TINDALL UNDERGROUND GARAGE;"{""type"": ""Point"", ""coordinates"": [-76.49926316010315, 44.22663472269173]}";44.2266347227, -76.4992631601
417;48 SEVENTH AVE;Basketball Court;ST. PETER ELEMENTARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.50084450419948, 44.24691710396542]}";44.246917104, -76.5008445042
423;355 WATERLOO DR;Basketball Court;ST. MARGUERITE BOURGEOYS PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.55249007971761, 44.253165940142885]}";44.2531659401, -76.5524900797
99;33 BAGOT ST;Monument;CHILDREN STATUE;"{""type"": ""Point"", ""coordinates"": [-76.4879850686608, 44.22653810921333]}";44.2265381092, -76.4879850687
745;295 ONTARIO ST;Ferry Terminal;WOLFE ISLAND FERRY TERMINAL;"{""type"": ""Point"", ""coordinates"": [-76.47685615056692, 44.23234734850148]}";44.2323473485, -76.4768561506
126;1 KING ST;Monument;FRANCES E. WILLARD MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.48939922234459, 44.22200082351751]}";44.2220008235, -76.4893992223
